2020-04-01,8,123,77,42,1.8333
2020-03-31,13,115,77,35,2.2000
2020-03-30,14,102,69,31,2.2258
2020-03-29,12,88,66,20,3.3000
2020-03-28,8,76,59,15,3.9333
2020-03-27,5,68,57,10,5.7000
2020-03-26,11,63,56,6,9.3333
2020-03-25,6,52,46,6,7.6667
